Date,Time,Transaction Type,Status,Chain,Buy Amount,Buy Currency,Buy Currency Address,Buy Fiat Amount,Buy Fiat Currency,Sell Amount,Sell Currency,Sell Currency Address,Sell Fiat Amount,Sell Fiat Currency,Fee Amount,Fee Currency,Fee Fiat Amount,Fee Fiat Currency,Tx Hash,Link,Timestamp,Incoming Transfers JSON,Outgoing Transfers JSON
01/24/2021,04:55,send,Confirmed,ethereum,"","","","","","0.003827182060078347","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","5.01112083036358364445","USD",0.001449,ETH,1.89724815,USD,0xa9665ffc956b7cd3eafa01b3dd04209a0489e58784c96fddf2f1bf6256eda8d3,https://etherscan.io/tx/0xa9665ffc956b7cd3eafa01b3dd04209a0489e58784c96fddf2f1bf6256eda8d3,2021-01-24T07:55:21.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":3827182060078347,""price"":1309.35,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
01/24/2021,04:53,send,Confirmed,ethereum,"","","","","","0.028993673","DIGG","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","1973.6134642236894","USD",0.001466066,ETH,1.9195935171,USD,0xd3160e811b1980885bc5b9e6aac46d18f9ed2920d71d5ce0fc156d489d084bd3,https://etherscan.io/tx/0xd3160e811b1980885bc5b9e6aac46d18f9ed2920d71d5ce0fc156d489d084bd3,2021-01-24T07:53:56.000Z,"[]","[{""asset"":{""fungible"":{""id"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""asset_code"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""name"":""Digg"",""symbol"":""DIGG"",""decimals"":9,""implementations"":{""ethereum"":{""address"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""decimals"":9}},""type"":""rebasing-token"",""icon_url"":""https://token-icons.s3.amazonaws.com/0x798d1be841a82a273720ce31c822c61a67a601c3.png"",""price"":{""value"":2732.9206483498047,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":28993673,""price"":68070.4878,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
01/24/2021,04:52,receive,Confirmed,ethereum,"0.004568156900962358","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","5.9897673285418438096","USD","","","","","",,,,,0x48638b0da9ca19d18148383af1bb0754556b13947a877d0d9d16c6dda8c1b928,https://etherscan.io/tx/0x48638b0da9ca19d18148383af1bb0754556b13947a877d0d9d16c6dda8c1b928,2021-01-24T07:52:50.000Z,"[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""aurora"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""ethereum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":4568156900962358,""price"":1311.2,""sender"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]","[]"
01/24/2021,04:50,receive,Confirmed,ethereum,"0.028993673","DIGG","0x5e79958efbb8afdedb6ec7107110f329e4eafffa","1976.4020119067488","USD","","","","","",0.005436201,ETH,7.1279467512,USD,0xeab0a0d3f2bcedfa39a1cb2d4747f2d61a42551929b21bc1f868831be01291c4,https://etherscan.io/tx/0xeab0a0d3f2bcedfa39a1cb2d4747f2d61a42551929b21bc1f868831be01291c4,2021-01-24T07:50:40.000Z,"[{""asset"":{""fungible"":{""id"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""asset_code"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""name"":""Digg"",""symbol"":""DIGG"",""decimals"":9,""implementations"":{""ethereum"":{""address"":""0x798d1be841a82a273720ce31c822c61a67a601c3"",""decimals"":9}},""type"":""rebasing-token"",""icon_url"":""https://token-icons.s3.amazonaws.com/0x798d1be841a82a273720ce31c822c61a67a601c3.png"",""price"":{""value"":2732.9206483498047,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":28993673,""price"":68166.6656,""sender"":""0x5e79958efbb8afdedb6ec7107110f329e4eafffa""}]","[]"
01/24/2021,04:48,receive,Confirmed,ethereum,"0.007610292159115989","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","9.9755709621692383812","USD","","","","","",,,,,0x02b2c9ac33f0b232e852c1479b75644b8e7a7c20e97126354736e18ce4a334ff,https://etherscan.io/tx/0x02b2c9ac33f0b232e852c1479b75644b8e7a7c20e97126354736e18ce4a334ff,2021-01-24T07:48:52.000Z,"[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""ethereum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":7610292159115989,""price"":1310.8,""sender"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]","[]"
01/11/2021,18:51,send,Confirmed,ethereum,"","","","","","0.051988892","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","53.4393820868","USD",0.001722,ETH,1.7700438,USD,0xe0a32c04a30462a38e6e168d6c6e88a8774e7f526dc72281f64d62ee1c7c440d,https://etherscan.io/tx/0xe0a32c04a30462a38e6e168d6c6e88a8774e7f526dc72281f64d62ee1c7c440d,2021-01-11T21:51:13.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""arbitrum"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":51988892000000000,""price"":1027.9,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
01/11/2021,18:50,send,Confirmed,ethereum,"","","","","","354.9310456541044","BADGER","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","2534.5867309073398168827824","USD",0.011482706,ETH,11.8030734974,USD,0x5870244cddc8eb385997593c582df0a3a640e2cba507b899cd646d151fa1809a,https://etherscan.io/tx/0x5870244cddc8eb385997593c582df0a3a640e2cba507b899cd646d151fa1809a,2021-01-11T21:50:11.000Z,"[]","[{""asset"":{""fungible"":{""id"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""asset_code"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""name"":""Badger"",""symbol"":""BADGER"",""decimals"":18,""implementations"":{""xdai"":{""address"":""0xdfc20ae04ed70bd9c7d720f449eedae19f659d65"",""decimals"":18},""ethereum"":{""address"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""decimals"":18},""loopring"":{""address"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""decimals"":18},""arbitrum"":{""address"":""0xbfa641051ba0a0ad1b0acf549a89536a0d76472e"",""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/0x3472a5a71965499acd81997a54bba8d852c6e53d.png"",""price"":{""value"":2.696346509499807,""relative_change_24h"":-0.36632985084677194,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":354931045654104400000,""price"":7.141067996,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
01/11/2021,18:45,trade,Confirmed,ethereum,"354.9310456541044","BADGER","0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28","2542.55123634642018229627728","USD","299.246693364093","bBADGER","0x0000000000000000000000000000000000000000","0","USD",0.02600064,ETH,26.8100399232,USD,0x3c9364cd5bfd659f4f75cce6fa0766c13f824289c7abeee8e5f41992c076d24f,https://etherscan.io/tx/0x3c9364cd5bfd659f4f75cce6fa0766c13f824289c7abeee8e5f41992c076d24f,2021-01-11T21:45:35.000Z,"[{""asset"":{""fungible"":{""id"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""asset_code"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""name"":""Badger"",""symbol"":""BADGER"",""decimals"":18,""implementations"":{""xdai"":{""address"":""0xdfc20ae04ed70bd9c7d720f449eedae19f659d65"",""decimals"":18},""ethereum"":{""address"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""decimals"":18},""loopring"":{""address"":""0x3472a5a71965499acd81997a54bba8d852c6e53d"",""decimals"":18},""arbitrum"":{""address"":""0xbfa641051ba0a0ad1b0acf549a89536a0d76472e"",""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/0x3472a5a71965499acd81997a54bba8d852c6e53d.png"",""price"":{""value"":2.696346509499807,""relative_change_24h"":-0.36632985084677194,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":354931045654104400000,""price"":7.1635075812,""sender"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28""}]","[{""asset"":{""fungible"":{""id"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""asset_code"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""name"":""Badger Sett Badger"",""symbol"":""bBADGER"",""decimals"":18,""implementations"":{""ethereum"":{""address"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28.png"",""price"":{""value"":3.332398436212793,""relative_change_24h"":-0.2556396947037602,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":299246693364093000000,""price"":0,""recipient"":""0x0000000000000000000000000000000000000000""}]"
01/11/2021,18:42,receive,Confirmed,ethereum,"200","bBADGER","0x14dc10fa6e4878280f9ca0d9f32ddaea8c7d4d45","0","USD","","","","","",0.008805762,ETH,9.07988537106,USD,0xf94bbcb4a7141f54ccd8a04ce59ff77bc31b9a776b7144252658c75ae7295d57,https://etherscan.io/tx/0xf94bbcb4a7141f54ccd8a04ce59ff77bc31b9a776b7144252658c75ae7295d57,2021-01-11T21:42:41.000Z,"[{""asset"":{""fungible"":{""id"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""asset_code"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""name"":""Badger Sett Badger"",""symbol"":""bBADGER"",""decimals"":18,""implementations"":{""ethereum"":{""address"":""0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28"",""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28.png"",""price"":{""value"":3.332398436212793,""relative_change_24h"":-0.2556396947037602,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":200000000000000000000,""price"":0,""sender"":""0x14dc10fa6e4878280f9ca0d9f32ddaea8c7d4d45""}]","[]"
01/11/2021,18:40,receive,Confirmed,ethereum,"0.1","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","102.994","USD","","","","","",,,,,0x99fd20c35651d853a977fb0f8f52bef95f70281308b03ddb938e3809aa456b3b,https://etherscan.io/tx/0x99fd20c35651d853a977fb0f8f52bef95f70281308b03ddb938e3809aa456b3b,2021-01-11T21:40:54.000Z,"[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""optimism"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""ethereum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":100000000000000000,""price"":1029.94,""sender"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]","[]"
